"rmse","mae","rsq","target_variable","mtry","min_n","tree_depth","learn_rate","loss_reduction"
6.70602466653203,5.14990348592643,0.280461785839743,"PM25_A7",37,24,10,0.00681292069057962,0.127106179961475
7.53303561874906,5.54017212284503,0.269822752968178,"PM25_C7",37,24,10,0.00681292069057962,0.127106179961475
7.65787195684278,5.60789411869637,0.265536401375042,"PM25_B7",37,24,10,0.00681292069057962,0.127106179961475
8.3620046785011,6.46956077814409,0.203605708800344,"PM25_A3",37,24,10,0.00681292069057962,0.127106179961475
9.49178796201205,6.9140535697512,0.190607402632701,"PM25_C3",37,24,10,0.00681292069057962,0.127106179961475
9.61417964957658,6.96104508797383,0.189010449793965,"PM25_B3",37,24,10,0.00681292069057962,0.127106179961475
10.3243335857269,7.97929156654238,0.130318042341161,"PM25_A1",37,24,10,0.00681292069057962,0.127106179961475
11.6770562453843,8.43030534045712,0.12235783818629,"PM25_C1",37,24,10,0.00681292069057962,0.127106179961475
11.9041391755822,8.51362906426786,0.118042672637463,"PM25_B1",37,24,10,0.00681292069057962,0.127106179961475
11.9069215337527,8.51589996372218,0.118685096119942,"PM25",37,24,10,0.00681292069057962,0.127106179961475
