"rmse","mae","rsq","target_variable","importance_top10","mtry","min_n","tree_depth","learn_rate","loss_reduction"
12.8411078639236,9.68265884980493,0.387894046387298,"PM10_A7","temp_2m(0.4791), solar_rad(0.1788), precip(0.1034), mtpi_1km(0.0521), dsm(0.0337), mtpi(0.0326), d_road(0.0324), dem(0.0225), site_type_Roadside(0.0126), lc_10(0.0052)",35,6,8,0.00865964323360065,2.48790236723884e-08
14.519398402846,10.5198571772708,0.346788512501945,"PM10_C7","temp_2m(0.459), solar_rad(0.1778), precip(0.0924), mtpi_1km(0.0591), d_road(0.0349), dsm(0.0322), mtpi(0.0314), dem(0.0224), site_type_Roadside(0.0116), lc_10(0.0076)",37,24,10,0.00681292069057962,0.127106179961475
15.700976542766,11.8393600141103,0.291286790471245,"PM10_A3","temp_2m(0.4277), solar_rad(0.2124), precip(0.1217), mtpi_1km(0.05), mtpi(0.0307), dsm(0.0305), d_road(0.0284), dem(0.0218), site_type_Roadside(0.0112), lc_10(0.0063)",37,24,10,0.00681292069057962,0.127106179961475
16.2743931981971,11.2358087468911,0.327276016124363,"PM10_B7","temp_2m(0.4573), solar_rad(0.1732), precip(0.1016), mtpi_1km(0.0574), d_road(0.0345), dsm(0.0315), mtpi(0.0307), dem(0.0214), site_type_Roadside(0.0112), lc_10(0.0081)",37,24,10,0.00681292069057962,0.127106179961475
17.9931944309843,12.6451943591845,0.261404802695767,"PM10_C3","temp_2m(0.4197), solar_rad(0.2141), precip(0.1191), mtpi_1km(0.0523), d_road(0.0311), mtpi(0.0309), dsm(0.0294), dem(0.0221), site_type_Roadside(0.0117), lc_10(0.007)",37,24,10,0.00681292069057962,0.127106179961475
18.9335237443517,14.2422416104772,0.210660634582978,"PM10_A1","temp_2m(0.4068), solar_rad(0.2501), precip(0.1189), mtpi_1km(0.0468), mtpi(0.0287), dsm(0.028), d_road(0.0279), dem(0.0218), site_type_Roadside(0.0109), lc_10(0.0057)",37,24,10,0.00681292069057962,0.127106179961475
20.265170975212,13.3320892011294,0.243990172270446,"PM10_B3","temp_2m(0.4206), solar_rad(0.2177), precip(0.1167), mtpi_1km(0.0522), d_road(0.0305), mtpi(0.0298), dsm(0.0285), dem(0.0223), site_type_Roadside(0.0112), lc_10(0.007)",37,24,10,0.00681292069057962,0.127106179961475
21.5829715292069,14.8594229662929,0.191414109052742,"PM10_C1","temp_2m(0.3995), solar_rad(0.2477), precip(0.1198), mtpi_1km(0.0491), mtpi(0.0299), d_road(0.0285), dsm(0.0269), dem(0.0231), site_type_Roadside(0.0114), lc_10(0.0061)",37,24,10,0.00681292069057962,0.127106179961475
25.1908311168856,15.7368767295668,0.165729285018783,"PM10_B1","temp_2m(0.3953), solar_rad(0.255), precip(0.1179), mtpi_1km(0.0472), mtpi(0.0291), d_road(0.0277), dsm(0.0266), dem(0.0238), site_type_Roadside(0.0108), lc_10(0.0062)",37,24,10,0.00681292069057962,0.127106179961475
27.5477751386324,16.7569049644981,0.120769312379643,"PM10","temp_2m(0.3907), solar_rad(0.2631), precip(0.1004), mtpi_1km(0.0434), d_road(0.0277), mtpi(0.0272), dsm(0.0269), dem(0.0268), site_type_Roadside(0.0097), lc_20(0.0082)",37,24,10,0.00681292069057962,0.127106179961475
