"rmse","mae","rsq","target_variable","mtry","min_n","tree_depth","learn_rate","loss_reduction"
12.833815067699,9.67857939397113,0.388578727232483,"PM10_A7",35,6,8,0.00865964323360065,2.48790236723884e-08
14.5116048963537,10.5078935011947,0.347583061615251,"PM10_C7",37,24,10,0.00681292069057962,0.127106179961475
15.7013288696828,11.8413517112852,0.291151621104198,"PM10_A3",37,24,10,0.00681292069057962,0.127106179961475
16.2853073826003,11.2449885627214,0.326210821908751,"PM10_B7",37,24,10,0.00681292069057962,0.127106179961475
17.9699912181162,12.6222496914015,0.263476251131872,"PM10_C3",37,24,10,0.00681292069057962,0.127106179961475
18.9317796775434,14.241594595369,0.210769405532495,"PM10_A1",37,24,10,0.00681292069057962,0.127106179961475
20.2743404534267,13.3360899557841,0.243306264349667,"PM10_B3",37,24,10,0.00681292069057962,0.127106179961475
21.607392362027,14.8755381317737,0.189746654370287,"PM10_C1",37,24,10,0.00681292069057962,0.127106179961475
25.1603913450304,15.7280605195116,0.167505938115506,"PM10_B1",37,24,10,0.00681292069057962,0.127106179961475
27.5677176967501,16.7521176978272,0.119470917880017,"PM10",37,24,10,0.00681292069057962,0.127106179961475
