"rmse","mae","rsq","target_variable","importance_top10","mtry","min_n","tree_depth","learn_rate","loss_reduction"
6.69958729281731,5.14515165208604,0.281664433456234,"PM25_A7","temp_2m(0.4438), solar_rad(0.2465), mtpi_1km(0.0439), dem(0.0265), dsm(0.0264), mtpi(0.0256), precip(0.0249), d_road(0.02), lc_10(0.012), lc_51(0.0115)",37,24,10,0.00681292069057962,0.127106179961475
7.48846980446963,5.48483444359286,0.296699075082081,"PM25_B7","temp_2m(0.3517), solar_rad(0.1728), precip(0.1098), mtpi_1km(0.0406), dsm(0.0323), dem(0.031), mtpi(0.0292), d_road(0.024), lc_61(0.0175), lc_10(0.0157)",10,25,11,0.0226030302714192,1e-10
7.52917160544818,5.53673749939701,0.270592910275268,"PM25_C7","temp_2m(0.4538), solar_rad(0.2362), mtpi_1km(0.0457), dem(0.0272), precip(0.027), dsm(0.026), mtpi(0.0253), d_road(0.021), lc_10(0.012), lc_61(0.0109)",37,24,10,0.00681292069057962,0.127106179961475
8.36675099189975,6.47260449824,0.203029245871713,"PM25_A3","temp_2m(0.4175), solar_rad(0.2766), mtpi_1km(0.0437), precip(0.0413), dem(0.0271), dsm(0.0268), mtpi(0.0239), d_road(0.0197), lc_10(0.0111), lc_61(0.0098)",37,24,10,0.00681292069057962,0.127106179961475
9.49036072004379,6.91262695297113,0.190985934628076,"PM25_C3","temp_2m(0.4328), solar_rad(0.2575), precip(0.047), mtpi_1km(0.0445), dem(0.0285), dsm(0.0267), mtpi(0.0238), d_road(0.0199), lc_10(0.0105), lc_61(0.0097)",37,24,10,0.00681292069057962,0.127106179961475
9.60604608865202,6.95577159029059,0.190089945508272,"PM25_B3","temp_2m(0.4359), solar_rad(0.2524), precip(0.0503), mtpi_1km(0.0465), dem(0.0284), dsm(0.0257), mtpi(0.0233), d_road(0.0206), lc_10(0.0102), lc_61(0.0099)",37,24,10,0.00681292069057962,0.127106179961475
10.3197932051751,7.96903828207104,0.131560863957864,"PM25_A1","temp_2m(0.4082), solar_rad(0.3002), precip(0.0473), mtpi_1km(0.0411), dem(0.028), dsm(0.0248), mtpi(0.0224), d_road(0.0188), lc_10(0.0096), lc_51(0.0084)",37,24,10,0.00681292069057962,0.127106179961475
11.6767814730842,8.43001438106415,0.122357623971964,"PM25_C1","temp_2m(0.4145), solar_rad(0.2843), precip(0.0539), mtpi_1km(0.0422), dem(0.0297), dsm(0.0246), mtpi(0.0225), d_road(0.0189), lc_10(0.0102), lc_61(0.0085)",37,24,10,0.00681292069057962,0.127106179961475
11.8860052955606,8.50404514334036,0.120284495885219,"PM25_B1","temp_2m(0.4196), solar_rad(0.2795), precip(0.0546), mtpi_1km(0.0428), dem(0.0291), dsm(0.0246), mtpi(0.0223), d_road(0.0203), lc_10(0.0091), lc_61(0.009)",37,24,10,0.00681292069057962,0.127106179961475
11.8932337950292,8.50678053127022,0.120215395584311,"PM25","temp_2m(0.4197), solar_rad(0.2782), precip(0.0553), mtpi_1km(0.0433), dem(0.0293), dsm(0.025), mtpi(0.0221), d_road(0.0201), lc_10(0.0091), lc_61(0.0088)",37,24,10,0.00681292069057962,0.127106179961475
