"rmse","mae","rsq","target_variable","mtry","min_n","tree_depth","learn_rate","loss_reduction"
14.3001973160127,11.4787747180362,0.276466726646037,"PM10_A7",25,9,15,0.0749894209332456,0.00464158883361278
15.8851216993154,12.4137437750237,0.247735111577488,"PM10_C7",25,9,15,0.0749894209332456,0.00464158883361278
17.3476187133059,13.7104144994703,0.181828560732395,"PM10_A3",25,9,15,0.0749894209332456,0.00464158883361278
17.5265137490686,13.2262966574368,0.231200579467318,"PM10_B7",25,9,15,0.0749894209332456,0.00464158883361278
19.7882316284903,14.8333911236341,0.152079939329607,"PM10_C3",25,9,15,0.0749894209332456,0.00464158883361278
20.62037176221,16.1005859269691,0.113860574522743,"PM10_A1",25,9,15,0.0749894209332456,0.00464158883361278
22.0478649980038,15.5709546220669,0.133470220338804,"PM10_B3",25,9,15,0.0749894209332456,0.00464158883361278
23.6439723413317,17.172975206453,0.0886745946184216,"PM10_C1",25,9,15,0.0749894209332456,0.00464158883361278
27.0492056329414,17.9589539439989,0.0729777371406946,"PM10_B1",25,9,15,0.0749894209332456,0.00464158883361278
28.0396823229316,18.3774827789679,0.0700938339958597,"PM10",25,9,15,0.0749894209332456,0.00464158883361278
